time,gols_marcados
America-MG,121
Atletico-GO,178
Atletico-MG,612
Atletico-PR,454
Avai-SC,113
Bahia-BA,328
Botafogo-RJ,366
Ceara-CE,189
Chapecoense-SC,261
Corinthians-SP,493
Coritiba-PR,311
Criciuma-SC,77
Cruzeiro-MG,391
Csa-AL,24
Cuiaba-MT,56
Figueirense-SC,142
Flamengo-RJ,604
Fluminense-RJ,511
Fortaleza-CE,158
Goias-GO,243
Gremio-RS,491
Internacional-RS,466
Joinville-SC,26
Juventude-RS,59
Nautico-PE,66
Palmeiras-SP,542
Parana-PR,18
Ponte Preta-SP,200
Portuguesa-SP,89
Red Bull Bragantino-SP,145
Santa Cruz-PE,45
Santos-SP,528
Sao Paulo-SP,518
Sport-PE,313
Vasco da Gama-RJ,280
Vitoria-BA,233
