time,gols_sofridos
America-MG,172
Atletico-GO,251
Atletico-MG,462
Atletico-PR,398
Avai-SC,217
Bahia-BA,371
Botafogo-RJ,407
Ceara-CE,200
Chapecoense-SC,359
Corinthians-SP,374
Coritiba-PR,386
Criciuma-SC,119
Cruzeiro-MG,329
Csa-AL,58
Cuiaba-MT,69
Figueirense-SC,219
Flamengo-RJ,443
Fluminense-RJ,477
Fortaleza-CE,170
Goias-GO,296
Gremio-RS,361
Internacional-RS,383
Joinville-SC,48
Juventude-RS,97
Nautico-PE,130
Palmeiras-SP,399
Parana-PR,57
Ponte Preta-SP,243
Portuguesa-SP,87
Red Bull Bragantino-SP,125
Santa Cruz-PE,69
Santos-SP,417
Sao Paulo-SP,425
Sport-PE,397
Vasco da Gama-RJ,355
Vitoria-BA,281
